META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 14:15:11 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; ; ; ; ; ; ; ; ; 4/6; 13/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 3; 3; ; ; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; 
Monaco; ; ; ; ; ; ; ; ; 7/2; 15/4; ; ; ; ; ; ; 75/19; ; ; ; ; ; ; ; ; ; ; ; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 18:15:03 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 7/10; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; 6/10; 11/17; ; 4/7; 4/7; 
Monaco; 15/4; 10/3; 18/5; 7/2; 18/5; 18/5; 7/2; 7/2; 7/2; 7/2; ; 7/2; 7/2; 15/4; 7/2; 7/2; 37/10; 18/5; 7/2; 37/10; 41/10; 39/11; 15/4; 7/2; 15/4; ; 4/7; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-09 22:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 13/20; 7/10; 7/10; 4/6; 4/6; 4/6; 13/20; 4/6; 4/6; 4/6; 7/10; 4/6; 13/20; 4/6; 13/20; 4/6; 4/6; 4/6; 4/6; 4/6; 17/25; 13/19; 13/19; 4/6; 13/19; ; 1; 4/6; 8/11
Draw; 10/3; 16/5; 10/3; 16/5; 16/5; 10/3; 17/5; 10/3; 10/3; 3; 16/5; 16/5; 16/5; 7/2; 7/2; 10/3; 16/5; 29/10; 3; 16/5; 69/20; 57/17; 3; 16/5; 3; ; 10/11; 10/3; 3
Monaco; 15/4; 10/3; 19/5; 7/2; 19/5; 15/4; 18/5; 7/2; 7/2; 15/4; 15/4; 7/2; 15/4; 4; 7/2; 7/2; 50/13; 18/5; 7/2; 50/13; 41/10; 18/5; 15/4; 15/4; 15/4; ; 4/7; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-10 02:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 13/20; 4/6; 4/6; 13/20; 7/10; 4/6; 13/20; 4/6; 13/20; 4/6; 4/6; 4/6; 4/6; 4/6; 17/25; 13/19; 13/19; 4/6; 13/19; ; 1; 4/6; 4/6
Draw; 7/2; 16/5; 10/3; 16/5; 16/5; 10/3; 17/5; 10/3; 10/3; 3; 16/5; 16/5; 16/5; 7/2; 7/2; 10/3; 13/4; 29/10; 3; 13/4; 69/20; 57/17; 3; 16/5; 3; ; 10/11; 3; 3
Monaco; 15/4; 10/3; 19/5; 7/2; 19/5; 15/4; 18/5; 7/2; 7/2; 15/4; 15/4; 7/2; 15/4; 4; 7/2; 7/2; 50/13; 18/5; 7/2; 50/13; 41/10; 18/5; 15/4; 15/4; 15/4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-10 06:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 4/6; 13/20; 7/10; 4/6; 13/20; 4/6; 13/20; 4/6; 4/6; 4/6; 4/6; 4/6; 17/25; 13/19; 13/19; 4/6; 13/19; ; 1; 4/6; 4/6
Draw; 7/2; 16/5; 17/5; 16/5; 16/5; 10/3; 17/5; 10/3; 10/3; 3; 16/5; 3; 16/5; 7/2; 7/2; 10/3; 13/4; 29/10; 3; 13/4; 69/20; 57/17; 3; 16/5; 3; ; 10/11; 3; 
Monaco; 15/4; 10/3; 4; 7/2; 19/5; 19/5; 18/5; 7/2; 7/2; 15/4; 15/4; 15/4; 15/4; 4; 7/2; 7/2; 50/13; 18/5; 7/2; 50/13; 41/10; 18/5; 15/4; 15/4; 15/4; ; 4/7; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-10 10:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 7/10; 4/6; 13/20; 4/6; 13/20; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 9/13; 13/19; 4/6; 7/10; ; 1; 4/6; 4/6
Draw; 7/2; 16/5; 10/3; 16/5; 16/5; 10/3; 17/5; 10/3; 10/3; 3; 16/5; 3; 16/5; 7/2; 10/3; 10/3; 13/4; 29/10; 3; 13/4; 67/20; 57/17; 31/10; 16/5; 16/5; ; 3; 3; 
Monaco; 15/4; 10/3; 19/5; 7/2; 19/5; 37/10; 18/5; 7/2; 7/2; 15/4; 15/4; 15/4; 15/4; 4; 4; 7/2; 19/5; 18/5; 4; 19/5; 41/10; 39/11; 4; 15/4; 41/10; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-10 14:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 7/10; 8/13; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 13/20; 4/6; 11/17; 4/6; 4/7; 11/17; 7/10; 4/6; 5/8; 4/6; 11/17; ; 1; 8/13; 4/6
Draw; 7/2; 10/3; 10/3; 14/5; 10/3; 10/3; 7/2; 10/3; 10/3; 16/5; 3; 16/5; 16/5; 17/5; 10/3; 10/3; 33/10; 16/5; 10/3; 33/10; 67/20; 57/17; 57/17; 16/5; 17/5; ; 3; 10/3; 
Monaco; 15/4; 18/5; 19/5; 4; 19/5; 19/5; 19/5; 7/2; 7/2; 15/4; 7/2; 4; 4; 4; 4; 15/4; 4; 18/5; 4; 4; 41/10; 37/10; 41/10; 15/4; 21/5; ; 4/6; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-10 18:15:02 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/6; 8/13; 13/20; 4/6; 8/13; 4/6; 13/20; 4/6; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 13/20; 4/6; 8/13; 4/6; 4/7; 8/13; 17/25; 19/29; 5/8; 4/6; 11/17; ; 8/13; 8/13; 4/6
Draw; 7/2; 10/3; 17/5; 16/5; 16/5; 10/3; 7/2; 16/5; 10/3; 16/5; 3; 16/5; 16/5; 17/5; 10/3; 10/3; 33/10; 16/5; 10/3; 33/10; 17/5; 57/17; 57/17; 10/3; 17/5; ; 10/3; 10/3; 7/2
Monaco; 4; 19/5; 4; 7/2; 4; 19/5; 4; 7/2; 19/5; 15/4; 4; 4; 4; 9/2; 4; 15/4; 77/19; 18/5; 4; 77/19; 21/5; 19/5; 41/10; 4; 21/5; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-10 22:15:03 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 4/7; 11/17; 17/25; 19/29; 7/11; 4/6; 19/29; ; 1; 8/13; 4/6
Draw; 7/2; 7/2; 17/5; 16/5; 10/3; 10/3; 7/2; 10/3; 10/3; 16/5; 3; 10/3; 10/3; 17/5; 10/3; 10/3; 57/17; 13/4; 10/3; 57/17; 17/5; 57/17; 57/17; 10/3; 17/5; ; 20/21; 3; 10/3
Monaco; 4; 18/5; 4; 7/2; 19/5; 17/4; 4; 4; 19/5; 15/4; 15/4; 4; 4; 4; 4; 15/4; 4; 15/4; 4; 4; 21/5; 19/5; 4; 4; 41/10; ; 4/6; 4; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-04-11 10:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 13/20; 8/13; 13/20; 4/6; 8/13; 8/13; 13/20; 13/20; 8/13; 8/13; 8/13; 8/13; 8/13; 13/20; 8/13; 4/6; 8/13; 11/17; 4/6; 8/13; 33/50; 7/11; 13/19; 8/13; 7/10; ; 4/7; 4/7; 4/6
Draw; 7/2; 18/5; 7/2; 14/5; 10/3; 10/3; 7/2; 7/2; 7/2; 16/5; 10/3; 7/2; 10/3; 7/2; 7/2; 10/3; 17/5; 17/5; 3; 17/5; 7/2; 7/2; 33/10; 7/2; 57/17; ; 10/3; 10/3; 7/2
Monaco; 4; 4; 4; 4; 19/5; 17/4; 4; 7/2; 19/5; 4; 15/4; 15/4; 4; 4; 17/4; 15/4; 4; 4; 7/2; 4; 21/5; 19/5; 19/5; 4; 50/13; ; 4; 21/5; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-11 14:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/15; 4/7; 11/20; 11/20; 8/15; 8/15; 11/20; 11/20; 8/15; 4/7; 4/7; 4/7; 8/15; 11/20; 11/20; 4/7; 5/9; 4/7; 4/7; 8/15; 29/50; 6/11; 7/12; 8/15; 3/5; ; 8/15; 4/7; 4/7
Draw; 4; 18/5; 37/10; 10/3; 18/5; 19/5; 19/5; 7/2; 7/2; 7/2; 7/2; 7/2; 15/4; 19/5; 15/4; 7/2; 37/10; 15/4; 7/2; 15/4; 19/5; 37/10; 18/5; 15/4; 62/17; ; 7/2; 7/2; 7/2
Monaco; 19/4; 9/2; 19/4; 9/2; 9/2; 470/100; 19/4; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 19/4; 9/2; 49/11; 9/2; 21/5; 50/11; 24/5; 9/2; 43/10; 9/2; 22/5; ; 23/5; 23/5; 23/5
META; champions-league/borussia-dortmund-v-monaco; 2017-04-11 18:15:02 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/15; 8/15; 8/15; 4/6; 1/2; 8/15; 8/15; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 8/15; 1/2; 8/15; 18/35; 8/15; 8/15; 1/2; 11/20; 11/21; 8/15; 8/15; 6/11; ; 23/20; 8/15; 8/15
Draw; 4; 18/5; 15/4; 16/5; 19/5; 19/5; 4; 15/4; 19/5; 4; 15/4; 4; 4; 19/5; 17/4; 4; 4; 4; 7/2; 4; 4; 39/10; 39/10; 4; 75/19; ; 1; 4; 4
Monaco; 19/4; 9/2; 19/4; 7/2; 9/2; 470/100; 19/4; 9/2; 9/2; 9/2; 9/2; 9/2; 19/4; 5; 19/4; 9/2; 9/2; 19/4; 9/2; 19/4; 49/10; 23/5; 9/2; 9/2; 23/5; ; 4/6; 23/5; 23/5
META; champions-league/borussia-dortmund-v-monaco; 2017-04-11 22:15:03 GMT+3; 2017-04-12 17:45; Nothing; Xlenovo
Borussia Dortmund; 8/15; 8/15; 4/7; 8/15; 8/15; 8/15; 8/15; 11/20; 4/7; 8/15; ; 4/7; 8/15; 4/7; 4/7; 8/15; 1/2; 6/11; 8/15; 1/2; 57/100; 6/11; 5/9; 8/15; 7/12; ; 6/5; ; 8/15
Draw; 4; 19/5; 15/4; 7/2; 19/5; 4; 4; 19/5; 19/5; 4; ; 7/2; 4; 4; 15/4; 4; 39/10; 4; 7/2; 39/10; 21/5; 4; 39/10; 4; 75/19; ; 7/2; ; 7/2
Monaco; 19/4; 9/2; 4; 9/2; 9/2; 9/2; 19/4; 17/4; 7/2; 9/2; ; 9/2; 17/4; 9/2; 9/2; 9/2; 19/4; 9/2; 21/5; 19/4; 22/5; 41/10; 21/5; 17/4; 17/4; ; 22/5; ; 23/5
META; champions-league/borussia-dortmund-v-monaco; 2017-04-12 02:15:02 GMT+3; 2017-04-12 17:45; Nothing; Xlenovo
Borussia Dortmund; 11/20; 8/15; 4/7; 8/15; 8/15; 8/15; 11/20; 11/20; 4/7; 8/15; 4/9; 4/7; 8/15; 4/7; 11/20; 8/15; 8/15; 6/11; 8/15; 8/15; 3/5; 6/11; 5/9; 4/7; 7/12; ; 6/5; ; 4/7
Draw; 4; 19/5; 15/4; 7/2; 19/5; 4; 4; 19/5; 19/5; 4; 15/4; 7/2; 4; 4; 19/5; 4; 50/13; 4; 7/2; 50/13; 4; 75/19; 39/10; 15/4; 75/19; ; 9/4; ; 7/2
Monaco; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 17/4; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 9/2; 9/2; 43/10; 9/2; 21/5; 43/10; 43/10; 41/10; 21/5; 17/4; 17/4; ; 6/5; ; 23/5
META; champions-league/borussia-dortmund-v-monaco; 2017-04-12 06:15:01 GMT+3; 2017-04-12 17:45; Nothing; Xlenovo
Borussia Dortmund; 11/20; 3/5; 4/7; 4/6; 8/15; 8/15; 8/15; 11/20; 4/7; 8/15; 4/9; 4/7; 8/15; 4/7; 11/20; 8/15; 8/15; 6/11; 8/15; 8/15; 59/100; 4/7; 5/9; 8/15; 7/12; ; 6/5; ; 4/7
Draw; 4; 18/5; 15/4; 16/5; 19/5; 4; 4; 19/5; 19/5; 4; 15/4; 7/2; 4; 4; 4; 4; 15/4; 4; 7/2; 15/4; 41/10; 50/13; 39/10; 15/4; 75/19; ; 7/2; ; 7/2
Monaco; 9/2; 4; 4; 7/2; 9/2; 9/2; 19/4; 17/4; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 17/4; 9/2; 50/11; 9/2; 21/5; 50/11; 43/10; 4; 21/5; 9/2; 17/4; ; 21/5; ; 22/5
META; champions-league/borussia-dortmund-v-monaco; 2017-04-12 10:15:01 GMT+3; 2017-04-12 17:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/7; 4/7; 4/6; 8/15; 8/15; 8/15; 11/20; 4/7; 8/15; 8/15; 4/7; 8/15; 4/7; 4/7; 8/15; 8/15; 6/11; 8/15; 8/15; 3/5; 5/9; 5/9; 4/7; 7/12; ; 6/5; ; 4/7
Draw; 15/4; 19/5; 15/4; 16/5; 18/5; 4; 4; 19/5; 19/5; 4; 15/4; 7/2; 4; 4; 15/4; 4; 37/10; 4; 7/2; 37/10; 79/20; 19/5; 37/10; 15/4; 15/4; ; 9/4; ; 7/2
Monaco; 9/2; 17/4; 17/4; 7/2; 9/2; 9/2; 19/4; 17/4; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 17/4; 9/2; 23/5; 9/2; 22/5; 23/5; 43/10; 21/5; 22/5; 9/2; 9/2; ; 6/5; ; 22/5
META; champions-league/borussia-dortmund-v-monaco; 2017-04-12 14:15:00 GMT+3; 2017-04-12 17:45; Nothing; Xlenovo
Borussia Dortmund; 11/20; 4/7; 11/20; 8/15; 8/15; 8/15; 8/15; 11/20; 4/7; 8/15; 4/7; 11/20; 11/20; 4/7; 4/7; 8/15; 5/9; 6/11; 4/7; 8/15; 31/50; 6/11; 7/12; 8/15; 3/5; ; 8/15; 8/15; 8/15
Draw; 15/4; 18/5; 37/10; 7/2; 18/5; 4; 19/5; 19/5; 7/2; 4; 7/2; 15/4; 7/2; 4; 7/2; 7/2; 62/17; 4; 7/2; 62/17; 39/10; 19/5; 18/5; 7/2; 37/10; ; 7/2; 7/2; 4
Monaco; 19/4; 9/2; 9/2; 9/2; 9/2; 17/4; 5; 17/4; 9/2; 9/2; 19/4; 9/2; 19/4; 9/2; 19/4; 5; 50/11; 9/2; 21/5; 19/4; 41/10; 43/10; 43/10; 5; 74/17; ; 23/5; 22/5; 24/5
META; champions-league/borussia-dortmund-v-monaco; 2017-04-12 18:15:00 GMT+3; 2017-04-12 17:45; Nothing; Xlenovo
Borussia Dortmund; 8/15; 1/2; 8/15; 8/15; 1/2; 8/15; 1/2; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 11/20; 8/15; 8/15; 18/35; 8/15; 1/2; 17/35; 31/50; 10/21; 18/35; 1/2; 8/15; ; 1/2; 1/2; 8/15
Draw; 15/4; 19/5; 19/5; 7/2; 19/5; 4; 4; 15/4; 19/5; 4; 15/4; 4; 4; 4; 15/4; 7/2; 4; 4; 7/2; 4; 39/10; 41/10; 39/10; 15/4; 4; ; 7/2; 7/2; 4
Monaco; 5; 5; 19/4; 9/2; 9/2; 17/4; 5; 9/2; 19/4; 9/2; 19/4; 9/2; 9/2; 24/5; 19/4; 5; 47/10; 19/4; 24/5; 49/10; 41/10; 49/10; 24/5; 5; 63/13; ; 23/5; 24/5; 24/5
