META; english/premier-league/everton-v-stoke; 2017-06-15 14:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 13/17; 13/18; 4/6; 13/18; ; 4/9; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 50/13; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-06 22:19:16 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/11; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 50/13; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-07 02:17:05 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/11; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 50/13; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-07 10:17:17 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/11; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 50/13; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-07 14:17:15 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 9/13; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/11; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 39/10; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-07 18:17:14 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 13/18; 13/18; 4/5; ; ; ; 4/6; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 50/13; 9/2; 37/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-07 22:17:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 8/11; 8/11; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 13/18; 13/18; 4/5; ; ; ; 4/6; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 7/2; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 19/5; 9/2; 37/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-08 02:16:56 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 8/11; 8/11; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 13/18; 13/18; 4/5; ; ; ; 4/6; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 7/2; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 19/5; 43/10; 37/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-08 10:16:55 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 8/11; 8/11; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 13/18; 13/18; 4/5; ; ; ; 4/6; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 7/2; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 19/5; 43/10; 37/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-08 14:16:58 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 8/11; 3/4; 8/11; 4/6; 4/6; 13/20; 4/5; 4/6; 13/18; 3/4; 3/4; 4/5; 8/11; 4/6; 3/4; 8/11; 4/6; 4/6; 14/19; 3/4; 3/4; 13/18; 5/6; ; ; ; 4/6; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 5/2; 5/2; 5/2; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 45/17; 73/25; 14/5; 11/4; 13/5; ; ; ; 21/10; ; 
Stoke; 4; 18/5; 19/5; 7/2; 7/2; 9/2; 4; 4; 15/4; 13/4; 13/4; 7/2; 7/2; 4; 15/4; 7/2; 4; 7/2; 18/5; 43/10; 37/10; 37/10; 10/3; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-08 18:16:56 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 8/11; 3/4; 8/11; 4/6; 4/6; 13/20; 4/5; 4/6; 13/18; 3/4; 3/4; 4/5; 8/11; 4/6; 3/4; 8/11; 4/6; 4/6; 14/19; 3/4; 3/4; 13/18; 5/6; ; ; ; 4/6; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 5/2; 5/2; 5/2; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 45/17; 73/25; 14/5; 11/4; 13/5; ; ; ; 21/10; ; 
Stoke; 4; 18/5; 19/5; 7/2; 7/2; 9/2; 4; 4; 15/4; 13/4; 13/4; 7/2; 7/2; 4; 15/4; 7/2; 4; 7/2; 18/5; 43/10; 37/10; 37/10; 10/3; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-08 22:16:46 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 8/11; 3/4; 8/11; 4/6; 4/6; 13/20; 4/5; 4/6; 13/18; 3/4; 3/4; 4/5; 8/11; 4/6; 3/4; 8/11; 4/6; 4/6; 14/19; 3/4; 3/4; 13/18; 5/6; ; ; ; 4/6; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 5/2; 5/2; 5/2; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 45/17; 73/25; 14/5; 11/4; 13/5; ; ; ; 21/10; ; 
Stoke; 4; 18/5; 19/5; 7/2; 7/2; 9/2; 4; 4; 15/4; 13/4; 13/4; 7/2; 7/2; 4; 15/4; 7/2; 4; 7/2; 18/5; 43/10; 37/10; 37/10; 10/3; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-09 02:16:41 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 8/11; 3/4; 8/11; 4/6; 4/6; 13/20; 4/5; 4/6; 13/18; 3/4; 3/4; 4/5; 8/11; 4/6; 3/4; 8/11; 4/6; 4/6; 14/19; 3/4; 3/4; 13/18; 5/6; ; ; ; 4/6; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 5/2; 5/2; 5/2; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 45/17; 73/25; 14/5; 11/4; 13/5; ; ; ; 12/5; ; 
Stoke; 4; 18/5; 19/5; 7/2; 7/2; 9/2; 4; 4; 15/4; 13/4; 13/4; 7/2; 7/2; 4; 15/4; 7/2; 4; 7/2; 18/5; 43/10; 37/10; 37/10; 10/3; ; ; ; 3; ; 
META; english/premier-league/everton-v-stoke; 2017-07-20 15:24:31 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 7/10; 7/10; 4/6; 4/6; 13/20; 8/11; 4/6; 11/17; 4/6; 4/6; 7/10; 13/20; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 71/100; 13/19; 11/17; 8/11; ; ; ; 4/7; ; 
Draw; 13/5; 14/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 11/4; 11/4; 5/2; 14/5; 13/5; 27/10; 11/4; 11/4; 73/25; 37/13; 11/4; 14/5; ; ; ; 5/2; ; 
Stoke; 4; 19/5; 4; 7/2; 7/2; 9/2; 22/5; 4; 22/5; 15/4; 15/4; 15/4; 4; 4; 15/4; 4; 4; 21/5; 54/13; 47/10; 41/10; 43/10; 15/4; ; ; ; 4; ; 
META; english/premier-league/everton-v-stoke; 2017-07-20 18:17:22 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 7/10; 7/10; 4/6; 4/6; 13/20; 8/11; 4/6; 11/17; 4/6; 4/6; 7/10; 13/20; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 71/100; 13/19; 11/17; 8/11; ; ; ; 4/7; ; 
Draw; 13/5; 14/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 11/4; 11/4; 5/2; 14/5; 13/5; 27/10; 11/4; 11/4; 73/25; 37/13; 11/4; 14/5; ; ; ; 5/2; ; 
Stoke; 4; 19/5; 4; 7/2; 7/2; 9/2; 22/5; 4; 22/5; 15/4; 15/4; 15/4; 4; 4; 15/4; 4; 4; 21/5; 54/13; 47/10; 41/10; 43/10; 15/4; ; ; ; 4; ; 
META; english/premier-league/everton-v-stoke; 2017-07-20 22:16:40 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 4/6; 7/10; 4/6; 4/6; 13/20; 8/11; 4/6; 11/17; 4/6; 4/6; 7/10; ; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 71/100; 13/19; 11/17; 8/11; ; ; ; 4/7; ; 
Draw; 13/5; 14/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 11/4; ; 5/2; 14/5; 13/5; 27/10; 11/4; 11/4; 73/25; 37/13; 11/4; 14/5; ; ; ; 5/2; ; 
Stoke; 4; 4; 4; 7/2; 7/2; 9/2; 22/5; 4; 22/5; 15/4; 15/4; 15/4; ; 4; 15/4; 4; 4; 21/5; 54/13; 47/10; 41/10; 43/10; 15/4; ; ; ; 4; ; 
META; english/premier-league/everton-v-stoke; 2017-07-21 02:15:53 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 4/6; 7/10; 4/6; 4/6; 13/20; 8/11; 4/6; 11/17; 4/6; 4/6; 7/10; ; 4/6; 7/10; 4/6; 4/6; 8/13; 11/17; 71/100; 13/19; 11/17; 8/11; ; ; ; ; ; 
Draw; 13/5; 14/5; 11/4; 13/5; 11/4; 5/2; 14/5; 11/4; 11/4; 13/5; 13/5; 11/4; ; 14/5; 14/5; 13/5; 27/10; 11/4; 11/4; 73/25; 37/13; 11/4; 14/5; ; ; ; ; ; 
Stoke; 4; 4; 4; 7/2; 7/2; 9/2; 22/5; 4; 22/5; 15/4; 15/4; 15/4; ; 4; 15/4; 4; 4; 21/5; 54/13; 47/10; 41/10; 43/10; 15/4; ; ; ; ; ; 
META; english/premier-league/everton-v-stoke; 2017-07-21 10:15:53 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 4/6; 7/10; 4/6; 4/6; 13/20; 8/11; 4/6; 11/17; 4/6; 4/6; 7/10; ; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 71/100; 13/19; 11/17; 8/11; ; ; ; 4/7; ; 
Draw; 13/5; 14/5; 11/4; 13/5; 11/4; 5/2; 14/5; 11/4; 11/4; 13/5; 13/5; 11/4; ; 14/5; 14/5; 13/5; 27/10; 11/4; 11/4; 73/25; 37/13; 11/4; 14/5; ; ; ; 5/2; ; 
Stoke; 4; 4; 4; 7/2; 7/2; 9/2; 22/5; 4; 22/5; 15/4; 15/4; 15/4; ; 4; 15/4; 4; 4; 21/5; 54/13; 47/10; 41/10; 43/10; 15/4; ; ; ; 4; ; 
META; english/premier-league/everton-v-stoke; 2017-07-21 14:15:56 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 4/6; 7/10; 4/6; 4/6; 13/20; 8/11; 4/6; 11/17; 4/6; 4/6; 7/10; ; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 71/100; 13/19; 11/17; 8/11; ; ; ; ; ; 
Draw; 13/5; 14/5; 11/4; 13/5; 11/4; 5/2; 14/5; 11/4; 11/4; 13/5; 13/5; 11/4; ; 14/5; 14/5; 13/5; 27/10; 11/4; 11/4; 73/25; 37/13; 11/4; 14/5; ; ; ; ; ; 
Stoke; 4; 4; 4; 7/2; 7/2; 9/2; 22/5; 4; 22/5; 15/4; 15/4; 15/4; ; 4; 15/4; 4; 4; 21/5; 54/13; 47/10; 41/10; 43/10; 15/4; ; ; ; ; ; 
META; english/premier-league/everton-v-stoke; 2017-07-21 18:16:36 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 4/6; 7/10; 4/6; 4/6; 13/20; 8/11; 4/6; 11/17; 4/6; 4/6; 7/10; 13/20; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 71/100; 13/19; 11/17; 8/11; ; ; ; ; ; 
Draw; 13/5; 14/5; 11/4; 13/5; 11/4; 5/2; 14/5; 11/4; 11/4; 13/5; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 27/10; 11/4; 11/4; 73/25; 37/13; 11/4; 14/5; ; ; ; ; ; 
Stoke; 4; 4; 4; 7/2; 7/2; 9/2; 22/5; 4; 22/5; 15/4; 15/4; 15/4; 4; 4; 15/4; 4; 4; 21/5; 54/13; 47/10; 41/10; 43/10; 15/4; ; ; ; ; ; 
META; english/premier-league/everton-v-stoke; 2017-07-21 22:17:08 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 4/6; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 11/17; 7/10; 7/10; 7/10; 13/20; 4/6; 7/10; 7/10; 4/6; 8/13; 4/6; 71/100; 13/19; 11/17; 3/4; ; ; ; 4/7; ; 
Draw; 13/5; 14/5; 11/4; 13/5; 11/4; 5/2; 14/5; 11/4; 11/4; 13/5; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; ; ; ; 5/2; ; 
Stoke; 4; 4; 4; 7/2; 7/2; 9/2; 17/4; 4; 22/5; 18/5; 18/5; 15/4; 4; 4; 15/4; 15/4; 4; 21/5; 77/19; 47/10; 41/10; 43/10; 7/2; ; ; ; 4; ; 
META; english/premier-league/everton-v-stoke; 2017-07-22 02:17:07 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 11/17; 7/10; 7/10; 7/10; 13/20; 4/6; 7/10; 7/10; 4/6; 8/13; 4/6; 71/100; 13/19; 11/17; 3/4; ; ; ; ; ; 
Draw; 13/5; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 11/4; 11/4; 13/5; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; ; ; ; ; ; 
Stoke; 4; 4; 4; 7/2; 7/2; 9/2; 17/4; 4; 22/5; 18/5; 18/5; 15/4; 4; 4; 15/4; 15/4; 4; 21/5; 77/19; 47/10; 41/10; 43/10; 7/2; ; ; ; ; ; 
META; english/premier-league/everton-v-stoke; 2017-07-22 10:17:08 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 8/11; 8/11; 4/6; 4/6; 13/20; 3/4; 4/6; 11/17; 7/10; 7/10; 7/10; 4/6; 4/6; 7/10; 7/10; 4/6; 8/13; 4/6; 71/100; 13/19; 11/17; 3/4; ; ; ; 4/7; ; 
Draw; 13/5; 13/5; 11/4; 13/5; 11/4; 5/2; 27/10; 11/4; 11/4; 13/5; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; ; ; ; 5/2; ; 
Stoke; 4; 18/5; 4; 7/2; 7/2; 9/2; 17/4; 4; 22/5; 18/5; 18/5; 15/4; 4; 4; 15/4; 15/4; 4; 21/5; 77/19; 47/10; 41/10; 43/10; 7/2; ; ; ; 4; ; 
META; english/premier-league/everton-v-stoke; 2017-07-22 14:17:53 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 11/17; 7/10; 7/10; 7/10; 4/6; 4/6; 7/10; 7/10; 4/6; 8/13; 4/6; 71/100; 13/19; 11/17; 3/4; ; ; ; 4/7; ; 
Draw; 13/5; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 11/4; 11/4; 13/5; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; ; ; ; 5/2; ; 
Stoke; 4; 18/5; 4; 7/2; 7/2; 9/2; 17/4; 4; 22/5; 18/5; 18/5; 15/4; 4; 4; 15/4; 15/4; 4; 21/5; 77/19; 47/10; 41/10; 43/10; 7/2; ; ; ; 4; ; 
META; english/premier-league/everton-v-stoke; 2017-07-22 18:17:59 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 11/17; 7/10; 7/10; 7/10; 4/6; 4/6; 7/10; 7/10; 4/6; 8/13; 4/6; 71/100; 13/19; 11/17; 3/4; ; ; ; 4/7; ; 
Draw; 13/5; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 11/4; 11/4; 13/5; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; ; ; ; 5/2; ; 
Stoke; 4; 18/5; 4; 7/2; 7/2; 9/2; 17/4; 4; 22/5; 18/5; 18/5; 15/4; 4; 4; 15/4; 15/4; 4; 21/5; 77/19; 47/10; 41/10; 43/10; 7/2; ; ; ; 4; ; 
META; english/premier-league/everton-v-stoke; 2017-07-22 22:17:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 11/17; 7/10; 7/10; 7/10; 4/6; 4/6; 7/10; 7/10; 4/6; 8/13; 4/6; 71/100; 13/19; 11/17; 3/4; ; ; ; 4/7; ; 
Draw; 13/5; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 11/4; 11/4; 13/5; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; ; ; ; 5/2; ; 
Stoke; 4; 18/5; 4; 7/2; 7/2; 9/2; 17/4; 4; 22/5; 18/5; 18/5; 15/4; 4; 4; 15/4; 15/4; 4; 21/5; 77/19; 47/10; 41/10; 43/10; 7/2; ; ; ; 4; ; 
META; english/premier-league/everton-v-stoke; 2017-07-23 02:17:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 8/11; 7/10; 4/6; 4/6; 13/20; 8/11; 4/6; 11/17; 4/6; 7/10; 7/10; 4/6; 4/6; 7/10; 7/10; 4/6; 8/13; 4/6; 71/100; 13/19; 11/17; 8/11; ; ; ; 4/7; ; 
Draw; 13/5; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 11/4; 11/4; 13/5; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 14/5; ; ; ; 5/2; ; 
Stoke; 4; 18/5; 4; 7/2; 7/2; 9/2; 17/4; 4; 22/5; 19/5; 15/4; 15/4; 4; 4; 15/4; 15/4; 4; 21/5; 77/19; 47/10; 41/10; 43/10; 15/4; ; ; ; 4; ; 
META; english/premier-league/everton-v-stoke; 2017-07-23 10:17:31 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 8/11; 7/10; 4/6; 4/6; 13/20; 8/11; 4/6; 11/17; 4/6; 7/10; 7/10; 4/6; 4/6; 7/10; 7/10; 4/6; 8/13; 4/6; 71/100; 13/19; 11/17; 8/11; ; ; ; 4/7; ; 
Draw; 13/5; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 11/4; 11/4; 13/5; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 14/5; ; ; ; 5/2; ; 
Stoke; 4; 18/5; 4; 7/2; 7/2; 9/2; 17/4; 4; 22/5; 19/5; 15/4; 15/4; 4; 4; 15/4; 15/4; 4; 21/5; 77/19; 47/10; 41/10; 43/10; 15/4; ; ; ; 4; ; 
META; english/premier-league/everton-v-stoke; 2017-07-23 14:18:09 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 4/6; 7/10; 4/6; 4/6; 13/20; 8/11; 4/6; 11/17; 4/6; 8/13; 7/10; 4/6; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 71/100; 13/19; 11/17; 8/11; ; ; ; 4/6; ; 
Draw; 13/5; 14/5; 11/4; 13/5; 11/4; 5/2; 14/5; 11/4; 11/4; 11/4; 14/5; 11/4; 11/4; 14/5; 14/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 14/5; ; ; ; 5/2; ; 
Stoke; 4; 4; 4; 7/2; 7/2; 9/2; 17/4; 4; 22/5; 21/5; 4; 15/4; 4; 4; 15/4; 15/4; 4; 21/5; 77/19; 47/10; 41/10; 43/10; 15/4; ; ; ; 4; ; 
META; english/premier-league/everton-v-stoke; 2017-07-23 18:17:57 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 4/6; 7/10; 4/6; 4/6; 13/20; 8/11; 4/6; 11/17; 4/6; 8/13; 7/10; 4/6; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 71/100; 13/19; 11/17; 8/11; ; ; ; 4/6; ; 
Draw; 13/5; 14/5; 11/4; 13/5; 11/4; 5/2; 14/5; 11/4; 11/4; 29/10; 14/5; 11/4; 11/4; 14/5; 14/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 14/5; ; ; ; 5/2; ; 
Stoke; 4; 4; 4; 7/2; 7/2; 9/2; 17/4; 4; 22/5; 21/5; 4; 15/4; 4; 4; 15/4; 15/4; 4; 21/5; 77/19; 47/10; 41/10; 43/10; 15/4; ; ; ; 4; ; 
META; english/premier-league/everton-v-stoke; 2017-07-23 22:17:42 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 7/10; 4/6; 7/10; 4/6; 4/6; 13/20; 8/11; 4/6; 11/17; 4/6; 8/13; 7/10; 4/6; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 71/100; 13/19; 11/17; 8/11; ; ; ; 4/7; ; 
Draw; 13/5; 14/5; 11/4; 13/5; 11/4; 5/2; 14/5; 11/4; 11/4; 29/10; 14/5; 11/4; 11/4; 14/5; 14/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 14/5; ; ; ; 5/2; ; 
Stoke; 4; 4; 4; 7/2; 7/2; 9/2; 17/4; 4; 22/5; 21/5; 4; 15/4; 4; 4; 15/4; 15/4; 4; 21/5; 77/19; 47/10; 41/10; 43/10; 15/4; ; ; ; 4; ; 
