META; english/premier-league/west-brom-v-bournemouth; 2017-02-05 16:17:40 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; ; 11/10; 5/4; ; ; ; ; 6/5; ; ; ; ; ; ; ; 6/5; ; 13/10; ; ; 5/4; ; ; ; ; ; ; 
Draw; ; 23/10; 11/5; ; ; ; ; 11/5; ; ; ; ; ; ; ; 12/5; ; 11/5; ; ; 119/50; ; ; ; ; ; ; 
Bournemouth; ; 5/2; 2; ; ; ; ; 9/4; ; ; ; ; ; ; ; 5/2; ; 21/10; ; ; 131/50; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-05 20:17:07 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 5/4; ; ; ; 23/20; 6/5; 11/10; 11/10; 11/10; ; ; ; ; 15/13; 1; 1; 21/20; 1; 119/100; ; 21/20; ; ; ; ; 
Bournemouth; 16/5; 29/10; 3; 14/5; 3; 3; 10/3; 29/10; 3; 3; 3; 16/5; 29/10; 16/5; 3; 31/10; 58/19; 14/5; 3; 56/19; 13/4; 31/10; 31/10; 3; ; 3; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 16:15:57 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 1; 21/20; 21/20; 21/20; 1; 1; 21/20; 21/20; 21/20; 1; 1; 1; 21/20; 21/20; 21/20; 1; 1; 20/21; 1; 1; 42/41; 39/40; 1; ; 1; 1; 21/20
Draw; 5/2; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 9/4; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 40/17; 12/5; 12/5; 40/17; 127/50; 40/17; 12/5; 12/5; ; 23/10; 12/5; 12/5
Bournemouth; 16/5; 14/5; 3; 14/5; 3; 3; 31/10; 29/10; 3; 3; 3; 16/5; 3; 16/5; 3; 31/10; 31/10; 29/10; 3; 31/10; 13/4; 31/10; 31/10; 3; ; 3; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 17:45:27 GMT+2; 2017-02-25 15:00; In Play; e70300-dr003
West Brom; 4/9; 2/5; ; 23/20; ; 4/9; 4/9; 2/5; ; 6/5; 11/10; ; 4/11; ; ; ; ; 10/29; ; ; ; ; ; ; ; ; 23/20; 1/2
Draw; 3; 3; ; 11/5; ; 3; 16/5; 3; ; 9/4; 21/10; ; 16/5; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; 21/10; 14/5
Bournemouth; 8; 15/2; ; 5/2; ; 8; 7; 9; ; 17/2; 12/5; ; 10; ; ; ; ; 11; ; ; ; ; ; ; ; ; 27/10; 17/2
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 18:32:54 GMT+2; 2017-02-25 15:00; In Play; e70300-dr003
West Brom; 1/4; 1/4; ; 4/11; ; 1/4; 1/4; 1/5; ; 2/9; 1/4; ; 2/9; 4/9; ; ; ; 1/5; ; ; ; ; ; 2/5; ; ; 23/20; 3/10
Draw; 7/2; 15/4; ; 16/5; ; 18/5; 19/5; 4; ; 15/4; 18/5; ; 15/4; 29/10; ; ; ; 4; ; ; ; ; ; 14/5; ; ; 21/10; 3
Bournemouth; 22; 22; ; 11; ; 22; 22; 25; ; 25; 20; ; 25; 8; ; ; ; 28; ; ; ; ; ; 17/2; ; ; 27/10; 22
